id,kod_dun,kawasan,kategori_pas,action_type,priority,action_text,owner,frequency,trigger_signal,status
N21_intel_3,N21,Bukit Kepayang,not_priority,intel,P3,Crawl passive 1×/minggu — N21 Bukit Kepayang.,Jentera N21,1×/minggu,manual,pending
N21_intel_4,N21,Bukit Kepayang,not_priority,intel,P3,Reclassify jika majoriti lawan drop atau isu tempatan panas.,Jentera N21,1×/minggu,manual,pending
N22_digital_1,N22,Rahang,not_priority,digital,P3,Tiada kempen aktif — maintain presence minimum.,Jentera N22,1×/minggu,manual,pending
N22_lapangan_2,N22,Rahang,not_priority,lapangan,P3,Tiada operasi lapangan kecuali permintaan calon tempatan.,Jentera N22,selective,manual,pending
N22_intel_3,N22,Rahang,not_priority,intel,P3,Crawl passive 1×/minggu — N22 Rahang.,Jentera N22,1×/minggu,manual,pending
N22_intel_4,N22,Rahang,not_priority,intel,P3,Reclassify jika majoriti lawan drop atau isu tempatan panas.,Jentera N22,1×/minggu,manual,pending
N23_digital_1,N23,Mambau,not_priority,digital,P3,Tiada kempen aktif — maintain presence minimum.,Jentera N23,1×/minggu,manual,pending
N23_lapangan_2,N23,Mambau,not_priority,lapangan,P3,Tiada operasi lapangan kecuali permintaan calon tempatan.,Jentera N23,selective,manual,pending
N23_intel_3,N23,Mambau,not_priority,intel,P3,Crawl passive 1×/minggu — N23 Mambau.,Jentera N23,1×/minggu,manual,pending
N23_intel_4,N23,Mambau,not_priority,intel,P3,Reclassify jika majoriti lawan drop atau isu tempatan panas.,Jentera N23,1×/minggu,manual,pending
N24_digital_1,N24,Seremban Jaya,not_priority,digital,P3,Tiada kempen aktif — maintain presence minimum.,Jentera N24,1×/minggu,manual,pending
N24_lapangan_2,N24,Seremban Jaya,not_priority,lapangan,P3,Tiada operasi lapangan kecuali permintaan calon tempatan.,Jentera N24,selective,manual,pending
N24_intel_3,N24,Seremban Jaya,not_priority,intel,P3,Crawl passive 1×/minggu — N24 Seremban Jaya.,Jentera N24,1×/minggu,manual,pending
N24_intel_4,N24,Seremban Jaya,not_priority,intel,P3,Reclassify jika majoriti lawan drop atau isu tempatan panas.,Jentera N24,1×/minggu,manual,pending
N25_digital_1,N25,Paroi,defend,digital,P1,Post FB/TikTok harian dari halaman calon/ADUN — highlight projek selesai & kehadiran ADUN.,Jentera N25,3–7×/minggu,weekly_schedule,pending
N25_digital_2,N25,Paroi,defend,digital,P1,3 video TikTok/minggu isu tempatan: Kos sara hidup bandar.,Jentera N25,3–7×/minggu,weekly_schedule,pending
N25_digital_3,N25,Paroi,defend,digital,P1,Balas komen negatif ≤4 jam; escalate ke war room jika viral >5k views.,Jentera N25,3–7×/minggu,weekly_schedule,pending
N25_lapangan_4,N25,Paroi,defend,lapangan,P1,House-to-house zon pengundi setia (FELDA/LBN) — 2 kali/minggu.,Jentera N25,2–3×/minggu,manual,pending
N25_lapangan_5,N25,Paroi,defend,lapangan,P1,Majlis pengundi setia + transport undi keluar (OKU/warga emas).,Jentera N25,2–3×/minggu,manual,pending
N25_lapangan_6,N25,Paroi,defend,lapangan,P1,Pastikan jentera polling agent confirmed — senarai 100% sebelum penamaan.,Jentera N25,2–3×/minggu,manual,pending
N25_komunikasi_7,N25,Paroi,defend,komunikasi,P1,Mesej utama: kestabilan + penghargaan + Kos sara hidup bandar ditangani.,Jentera N25,mingguan,manual,pending
N25_komunikasi_8,N25,Paroi,defend,komunikasi,P1,Counter-narrative split PAS-Bersatu — tekankan kestabilan negeri.,Jentera N25,mingguan,manual,pending
N25_intel_9,N25,Paroi,defend,intel,P1,Crawl keyword: PRN N25 Paroi — 2×/hari semasa kempen.,Jentera N25,2×/hari,manual,pending
N25_intel_10,N25,Paroi,defend,intel,P1,Alert bila sentiment negatif >20% atau lawan mula ceramah <5km.,Jentera N25,2×/hari,sentiment_neg_pct > 20,pending
N26_digital_1,N26,Chembong,not_priority,digital,P3,Tiada kempen aktif — maintain presence minimum.,Jentera N26,1×/minggu,manual,pending
N26_lapangan_2,N26,Chembong,not_priority,lapangan,P3,Tiada operasi lapangan kecuali permintaan calon tempatan.,Jentera N26,selective,manual,pending
N26_intel_3,N26,Chembong,not_priority,intel,P3,Crawl passive 1×/minggu — N26 Chembong.,Jentera N26,1×/minggu,manual,pending
N26_intel_4,N26,Chembong,not_priority,intel,P3,Reclassify jika majoriti lawan drop atau isu tempatan panas.,Jentera N26,1×/minggu,manual,pending
N27_digital_1,N27,Rantau,tough,digital,P2,Minimum 1 post/minggu — jangan habiskan budget iklan.,Jentera N27,1×/minggu,manual,pending
N27_digital_2,N27,Rantau,tough,digital,P2,Rebut isu Kos sara hidup / ekonomi mikro hanya bila lawan attack.,Jentera N27,1×/minggu,manual,pending
N27_lapangan_3,N27,Rantau,tough,lapangan,P2,Ceramah selective — hanya jika isyarat positif (crowd >200).,Jentera N27,selective,manual,pending
N27_lapangan_4,N27,Rantau,tough,lapangan,P2,Sentuhan akar umbi Rembau/Tradisi — 1 program/2 minggu.,Jentera N27,selective,manual,pending
N27_komunikasi_5,N27,Rantau,tough,komunikasi,P2,Mesej defensif: perpaduan + elak provokasi.,Jentera N27,mingguan,manual,pending
N27_intel_6,N27,Rantau,tough,intel,P2,Monitor passive — crawl 1×/minggu N27 Rantau.,Jentera N27,1×/minggu,manual,pending
N27_intel_7,N27,Rantau,tough,intel,P2,Naikkan ke Boleh Menang jika lawan lemah (clash PN / sentiment drop).,Jentera N27,1×/minggu,opponent_weak_signal,pending
N28_digital_1,N28,Kota,not_priority,digital,P3,Tiada kempen aktif — maintain presence minimum.,Jentera N28,1×/minggu,manual,pending
N28_lapangan_2,N28,Kota,not_priority,lapangan,P3,Tiada operasi lapangan kecuali permintaan calon tempatan.,Jentera N28,selective,manual,pending
N28_intel_3,N28,Kota,not_priority,intel,P3,Crawl passive 1×/minggu — N28 Kota.,Jentera N28,1×/minggu,manual,pending
N28_intel_4,N28,Kota,not_priority,intel,P3,Reclassify jika majoriti lawan drop atau isu tempatan panas.,Jentera N28,1×/minggu,manual,pending
N29_digital_1,N29,Chuah,not_priority,digital,P3,Tiada kempen aktif — maintain presence minimum.,Jentera N29,1×/minggu,manual,pending
N29_lapangan_2,N29,Chuah,not_priority,lapangan,P3,Tiada operasi lapangan kecuali permintaan calon tempatan.,Jentera N29,selective,manual,pending
N29_intel_3,N29,Chuah,not_priority,intel,P3,Crawl passive 1×/minggu — N29 Chuah.,Jentera N29,1×/minggu,manual,pending
N29_intel_4,N29,Chuah,not_priority,intel,P3,Reclassify jika majoriti lawan drop atau isu tempatan panas.,Jentera N29,1×/minggu,manual,pending
N30_digital_1,N30,Lukut,not_priority,digital,P3,Tiada kempen aktif — maintain presence minimum.,Jentera N30,1×/minggu,manual,pending
N30_lapangan_2,N30,Lukut,not_priority,lapangan,P3,Tiada operasi lapangan kecuali permintaan calon tempatan.,Jentera N30,selective,manual,pending
N30_intel_3,N30,Lukut,not_priority,intel,P3,Crawl passive 1×/minggu — N30 Lukut.,Jentera N30,1×/minggu,manual,pending
N30_intel_4,N30,Lukut,not_priority,intel,P3,Reclassify jika majoriti lawan drop atau isu tempatan panas.,Jentera N30,1×/minggu,manual,pending
N31_digital_1,N31,Bagan Pinang,defend,digital,P1,Post FB/TikTok harian dari halaman calon/ADUN — highlight projek selesai & kehadiran ADUN.,Jentera N31,3–7×/minggu,weekly_schedule,pending
N31_digital_2,N31,Bagan Pinang,defend,digital,P1,3 video TikTok/minggu isu tempatan: Pelancongan PD.,Jentera N31,3–7×/minggu,weekly_schedule,pending
N31_digital_3,N31,Bagan Pinang,defend,digital,P1,Balas komen negatif ≤4 jam; escalate ke war room jika viral >5k views.,Jentera N31,3–7×/minggu,weekly_schedule,pending
N31_lapangan_4,N31,Bagan Pinang,defend,lapangan,P1,House-to-house zon pengundi setia (FELDA/LBN) — 2 kali/minggu.,Jentera N31,2–3×/minggu,manual,pending
N31_lapangan_5,N31,Bagan Pinang,defend,lapangan,P1,Majlis pengundi setia + transport undi keluar (OKU/warga emas).,Jentera N31,2–3×/minggu,manual,pending
N31_lapangan_6,N31,Bagan Pinang,defend,lapangan,P1,Pastikan jentera polling agent confirmed — senarai 100% sebelum penamaan.,Jentera N31,2–3×/minggu,manual,pending
N31_komunikasi_7,N31,Bagan Pinang,defend,komunikasi,P1,Mesej utama: kestabilan + penghargaan + Pelancongan PD ditangani.,Jentera N31,mingguan,manual,pending
N31_komunikasi_8,N31,Bagan Pinang,defend,komunikasi,P1,Counter-narrative split PAS-Bersatu — tekankan kestabilan negeri.,Jentera N31,mingguan,manual,pending
N31_intel_9,N31,Bagan Pinang,defend,intel,P1,Crawl keyword: PRN N31 Bagan Pinang — 2×/hari semasa kempen.,Jentera N31,2×/hari,manual,pending
N31_intel_10,N31,Bagan Pinang,defend,intel,P1,Alert bila sentiment negatif >20% atau lawan mula ceramah <5km.,Jentera N31,2×/hari,sentiment_neg_pct > 20,pending
N32_digital_1,N32,Linggi,not_priority,digital,P3,Tiada kempen aktif — maintain presence minimum.,Jentera N32,1×/minggu,manual,pending
N32_lapangan_2,N32,Linggi,not_priority,lapangan,P3,Tiada operasi lapangan kecuali permintaan calon tempatan.,Jentera N32,selective,manual,pending
N32_intel_3,N32,Linggi,not_priority,intel,P3,Crawl passive 1×/minggu — N32 Linggi.,Jentera N32,1×/minggu,manual,pending
N32_intel_4,N32,Linggi,not_priority,intel,P3,Reclassify jika majoriti lawan drop atau isu tempatan panas.,Jentera N32,1×/minggu,manual,pending
N33_digital_1,N33,Sri Tanjung,not_priority,digital,P3,Tiada kempen aktif — maintain presence minimum.,Jentera N33,1×/minggu,manual,pending
N33_lapangan_2,N33,Sri Tanjung,not_priority,lapangan,P3,Tiada operasi lapangan kecuali permintaan calon tempatan.,Jentera N33,selective,manual,pending
N33_intel_3,N33,Sri Tanjung,not_priority,intel,P3,Crawl passive 1×/minggu — N33 Sri Tanjung.,Jentera N33,1×/minggu,manual,pending
N33_intel_4,N33,Sri Tanjung,not_priority,intel,P3,Reclassify jika majoriti lawan drop atau isu tempatan panas.,Jentera N33,1×/minggu,manual,pending
